Mod_rotura_N_mm2
48.78
41.64
39.77
35.89
54.04
35.43
22.75
44.78
43.99
47.74
25.39
38
25.98
36.84
34.49
38.71
30.53
32.02
39.34
46.33
46.99
22.67
39.62
44.78
26.63
43.48
30.05
3.033
39.21
51.39
50.91
49.65
47.83
44.07
45.54
34.12
45.92
36.47
28.98
40.85
56.6
28.76
47.42
33.61
44.36
35.3
33.18
36.85
17.98
27.9
44.36
32.4
33.06
33.47
35.67
28.46
23.16
44.51
42.47
48.39
38.05
35.03
31.33
27.31
53.99
43.41
28.71
58.34
48.37
29.93
36.38
46.86
36
23.19
36.88
44.3
44.59
44
40.39
41.72
29.9
35.17
34.44
27.93
0
50.98
40.71
34.63
24.84
28.83
42.31
39.33
39.93
39.6
38.16
43.33
69.07
51.9
33.71
46.5
36.92
35.58
28.97
34.56
28.69
38.64
24.25
44.54
40.85
39.97
37.69
41.87
33.14
55.23
36.53
22.74
34.4
40.53
47.25
32.68
43.26
47.61
28.13
32.48
36.81
35.88
33.92
57.99
49.57
40.2
49.59
32.03
39.2
29.11
65.61
37.78
43.33
53.63
41.85
33.19
39.15
54.71
43.64
56.8
43.07
43.12
30.02
38.81
24.09
65.35
45.19
70.22
41.75
37.51
31.6
37.65
28
46.01
43.48
40.27
39.05
32.76
45.97
23.14
53
